Country,Advisory Level,Date Updated,GPI Score,GTI Score,Tourist Arrivals,Number of Deaths
Sierra Leone,Level 2: Exercise Increased Caution,2024-09-23,1.993,0.0,0,5
Singapore,Level 1: Exercise Normal Precautions,2025-03-05,1.339,0.0,6306000,28
Solomon Island,Level 2: Exercise Increased Caution,2023-07-24,,,0,0
Somalia,Level 4: Do Not Travel,2024-07-23,3.091,7.614,0,4
South Africa,Level 2: Exercise Increased Caution,2024-11-07,2.507,0.0,7342000,56
Sri Lanka,Level 2: Exercise Increased Caution,2024-10-02,2.195,0.0,758800,16
Sudan,Level 4: Do Not Travel,2023-04-22,3.327,0.0,0,3
Suriname,Level 1: Exercise Normal Precautions,2024-12-13,,,0,1
Syria,Level 4: Do Not Travel,2025-03-03,3.173,8.006,0,11
Taiwan,Level 1: Exercise Normal Precautions,2024-07-31,1.818,0.0,0,79
Tajikistan,Level 2: Exercise Increased Caution,2024-11-27,2.035,0.999,0,0
Tanzania,Level 2: Exercise Increased Caution,2024-09-05,1.987,1.573,0,20
Thailand,Level 1: Exercise Normal Precautions,2023-07-24,2.048,4.63,0,322
Timor-Leste,Level 2: Exercise Increased Caution,2025-03-21,1.882,0.0,0,0
Togo,Level 2: Exercise Increased Caution,2024-11-07,2.381,5.004,0,6
Tunisia,Level 2: Exercise Increased Caution,2024-10-23,2.044,2.184,0,3
Turkey,Level 2: Exercise Increased Caution,2024-10-16,,,0,30
Turkmenistan,Level 1: Exercise Normal Precautions,2025-02-28,2.079,0.0,0,0
Tuvalu,Level 1: Exercise Normal Precautions,2024-12-02,,,0,0
Uganda,Level 3: Reconsider Travel,2024-10-21,2.477,3.702,0,10
Ukraine,Level 4: Do Not Travel,2024-11-14,3.28,2.003,2307000,30
Uruguay,Level 2: Exercise Increased Caution,2023-07-17,1.893,0.059,0,16
Uzbekistan,Level 1: Exercise Normal Precautions,2024-09-27,1.957,0.233,5233000,1
Vanuatu,Level 3: Reconsider Travel,2024-12-20,,,65000,0
Venezuela,Level 4: Do Not Travel,2024-09-24,2.821,0.71,0,42
Vietnam,Level 1: Exercise Normal Precautions,2024-12-16,1.802,0.0,0,106
Yemen,Level 4: Do Not Travel,2025-03-31,3.397,5.08,0,22
Zambia,Level 1: Exercise Normal Precautions,2023-07-31,1.948,0.0,0,14
Zimbabwe,Level 2: Exercise Increased Caution,2023-06-27,2.396,0.0,1044000,9
Zimbabwe,Level 2: Exercise Increased Caution,2023-06-27,2.396,0.0,1044000,9
French Guiana,Level 1: Exercise Normal Precautions,2025-01-16,,,0,0
British Virgin Islands,Level 1: Exercise Normal Precautions,2024-08-22,,,0,11
Tonga,Level 1: Exercise Normal Precautions,2024-12-02,,,22300,2
Argentina,Level 1: Exercise Normal Precautions,2024-09-20,1.855,0.801,7503000,40
Armenia,Level 2: Exercise Increased Caution,2024-04-09,2.052,0.72,0,6
Azerbaijan,Level 2: Exercise Increased Caution,2023-11-02,2.248,0.233,1602000,0
The Bahamas,Level 2: Exercise Increased Caution,2025-03-31,,,0,121
Bahrain,Level 2: Exercise Increased Caution,2024-09-09,2.072,0.059,9949000,8
Bangladesh,Level 3: Reconsider Travel,2024-09-11,2.126,3.03,0,10
Benin,Level 2: Exercise Increased Caution,2024-05-24,2.306,4.802,0,2
Bhutan,Level 1: Exercise Normal Precautions,2024-06-26,1.564,0.0,0,0
Bolivia,Level 2: Exercise Increased Caution,2024-06-06,2.009,0.0,0,23
Bosnia and Herzegovina,Level 2: Exercise Increased Caution,2024-12-12,1.961,1.218,0,1
Burkina Faso,Level 4: Do Not Travel,2023-07-31,2.969,8.581,0,2
Burundi,Level 3: Reconsider Travel,2025-02-21,2.567,4.043,0,0
Cambodia,Level 1: Exercise Normal Precautions,2023-07-24,2.028,0.423,0,57
Cameroon,Level 2: Exercise Increased Caution,2024-12-18,2.773,6.944,539000,8
Canada,Level 1: Exercise Normal Precautions,2024-10-04,1.449,1.87,17924000,188
Central African Republic,Level 4: Do Not Travel,2024-12-26,3.009,0.957,0,0
Chad,Level 3: Reconsider Travel,2025-03-18,2.704,5.032,0,1
Chile,Level 2: Exercise Increased Caution,2025-01-16,1.978,5.162,2269000,33
China,Level 2: Exercise Increased Caution,2024-11-27,2.101,1.863,25250000,183
Colombia,Level 3: Reconsider Travel,2024-01-02,2.887,6.381,4686000,119
Costa Rica,Level 2: Exercise Increased Caution,2024-12-10,1.95,0.0,2497100,331
Cote d'Ivoire,Level 2: Exercise Increased Caution,2024-04-08,,,0,0
Cuba,Level 2: Exercise Increased Caution,2024-11-22,2.16,0.0,1614100,24
Dominica,Level 1: Exercise Normal Precautions,2024-08-22,,,235000,2
Dominican Republic,Level 2: Exercise Increased Caution,2024-06-18,2.157,0.0,8488800,269
Ecuador,Level 2: Exercise Increased Caution,2024-04-15,2.572,1.55,1265000,94
Egypt,Level 3: Reconsider Travel,2024-10-15,2.212,4.416,11724000,64
El Salvador,Level 2: Exercise Increased Caution,2025-02-07,2.25,0.0,2541000,123
Eritrea,Level 2: Exercise Increased Caution,2023-07-31,2.748,0.0,0,1
Ethiopia,Level 3: Reconsider Travel,2023-07-31,2.845,0.787,0,28
Gabon,Level 2: Exercise Increased Caution,2024-12-18,2.372,0.0,0,0
The Gambia,Level 2: Exercise Increased Caution,2024-10-16,2.079,0.0,0,2
Georgia,Level 1: Exercise Normal Precautions,2025-03-13,2.195,0.0,4704000,6
Ghana,Level 2: Exercise Increased Caution,2023-11-20,1.938,0.0,0,23
Democratic Republic of the Congo,Level 4: Do Not Travel,2025-01-29,3.264,6.768,0,0
Republic of the Congo,Level 2: Exercise Increased Caution,2024-10-02,2.261,0.0,0,0
Guinea-Bissau,Level 3: Reconsider Travel,2025-03-24,2.085,0.0,0,0
Bonaire,Level 1: Exercise Normal Precautions,2024-08-19,,,0,2
Sint Eustatius,Level 1: Exercise Normal Precautions,2024-08-19,,,0,0
Saba,Level 1: Exercise Normal Precautions,2024-08-19,,,0,0
Greenland,Level 2: Exercise Increased Caution,2024-10-29,,,0,1
